JU4200;Le Refrain-La Bouège
JU4200;Le Refrain-La Bouège
JU4300;Les Saignes
JU4300;Les Saignes
JU4806;La Sagne à Droz
JU4806;La Sagne à Droz
JU4900;La Vauchotte-Bois Banal
JU4900;La Vauchotte-Bois Banal
JU5001;Dos le Cras
JU5001;Dos le Cras
JU5101;Plain de Saigne
JU5101;Plain de Saigne
JU5412;La Goule-Le Theusseret
JU5412;La Goule-Le Theusseret
JU5413;La Bouège-La Goule
JU5413;La Bouège-La Goule
JU5600;Bois Banal-Moulin Jeannotat
JU5600;Bois Banal-Moulin Jeannotat
JU5606;Les Pommerats
JU5606;Les Pommerats
JU5701;La Gruère
JU5701;La Gruère
JU5702;Les Royes
JU5800;Côte d'Oye
JU5800;Côte d'Oye
JU6400;Etangs de Vendlincourt
JU6400;Etangs de Vendlincourt
JU6600;Lorette
JU6600;Lorette
JU6604;Bellefontaine
JU6604;Bellefontaine
JU7000;Etang Corbat
JU7000;Etang Corbat
JU7500;Etangs Rougeat
JU7500;Etangs Rougeat
JU7501;Etangs de Bonfol
JU7501;Etangs de Bonfol
JU7508;Les Queues de Chats
JU7508;Les Queues de Chats
JU7801;Place d'armes, le Nalé
JU7801;Place d'armes, le Nalé
JU8101;La Coeuvatte
JU8101;La Coeuvatte
JU8400;Le Martinet
JU8400;Le Martinet
JU8700;Les Coeudres
JU8700;Les Coeudres
LU3;Staldenmoos
LU3;Staldenmoos
LU5;Schlossweiher Altishofen
LU5;Schlossweiher Altishofen
LU10;Hasliweiher
LU10;Hasliweiher
LU13;Gütschweiher
LU13;Gütschweiher
LU33;Uffikonermoos
LU36;Hetzligermoos
LU47;Chalchloch
LU47;Chalchloch
LU55;Risch, Rotseeried
LU55;Risch, Rotseeried
LU60;Ottigenbüel
LU86;Riffigweiher
LU86;Riffigweiher
LU105;Fuchseren
LU105;Fuchseren
LU116;Gürmschmoos
LU116;Gürmschmoos
LU119;Moos
LU119;Moos
LU122;Mettlenmoos
LU122;Mettlenmoos
LU132;Hilferenmättili
