Gemeindename;Beschäftigte total
Niederwil (AG);1285
Oberlunkhofen;453
Oberwil-Lieli;457
Rudolfstetten-Friedlisberg;1008
Sarmenstorf;677
Tägerig;214
Uezwil;89
Unterlunkhofen;277
Villmergen;3806
Widen;851
Wohlen (AG);7891
Zufikon;1061
Islisberg;78
Auenstein;263
Birr;2446
Birrhard;309
Bözen;173
Brugg;8466
Effingen;229
Elfingen;70
Habsburg;76
Hausen (AG);1584
Lupfig;2331
Mandach;79
Mönthal;94
Mülligen;169
Remigen;280
Riniken;269
Rüfenach;210
Schinznach-Bad;1422
Thalheim (AG);260
Veltheim (AG);616
Villigen;1539
Villnachern;266
Windisch;4864
Bözberg;359
Schinznach;1202
Beinwil am See;933
Birrwil;269
Burg (AG);329
Dürrenäsch;820
Gontenschwil;976
Holziken;246
Leimbach (AG);120
Leutwil;199
Menziken;2041
Oberkulm;955
Reinach (AG);3621
Schlossrued;327
Schmiedrued;378
Schöftland;1722
Teufenthal (AG);346
Unterkulm;1069
Zetzwil;609
Eiken;1319
Frick;3695
Gansingen;181
Gipf-Oberfrick;794
Herznach;374
Hornussen;182
Kaisten;896
Laufenburg;2846
Münchwilen (AG);468
Oberhof;145
Oeschgen;314
Schwaderloch;230
Sisseln;1027
Ueken;147
Wittnau;229
Wölflinswil;326
Zeihen;265
Mettauertal;772
Ammerswil;76
Boniswil;222
Brunegg;547
Dintikon;1003
Egliswil;432
Fahrwangen;853
Hallwil;250
Hendschiken;435
Holderbank (AG);783
Hunzenschwil;1747
Lenzburg;9293
Meisterschwanden;1099
Möriken-Wildegg;1546
Niederlenz;1469
Othmarsingen;1362
Rupperswil;2156
Schafisheim;3805
Seengen;1212
Seon;2716
Staufen;555
Abtwil;193
Aristau;238
Auw;615
Beinwil (Freiamt);430
Besenbüren;126
Bettwil;233
Boswil;1299
Bünzen;290
Buttwil;275
Dietwil;206
Geltwil;81
Kallern;103
Merenschwand;1586
Mühlau;331
Muri (AG);5233
Oberrüti;359
Rottenschwil;166
Sins;2241
Waltenschwil;674
Hellikon;164
Kaiseraugst;5160
Magden;795
Möhlin;4042
Mumpf;228
Obermumpf;152
Olsberg;97
Rheinfelden;7904
Schupfart;185
Stein (AG);3605
Wallbach;918
Wegenstetten;213
Zeiningen;570
Zuzgen;247
Aarburg;3217
Bottenwil;155
Brittnau;692
Kirchleerau;277
Kölliken;1478
Moosleerau;372
Murgenthal;959
Oftringen;5259
Reitnau;622
Rothrist;4792
Safenwil;1650
Staffelbach;380
Strengelbach;1498
Uerkheim;374
Vordemwald;616
Wiliberg;33
Zofingen;10598
Baldingen;43
Böbikon;63
Böttstein;1614
Döttingen;2097
Endingen;757
Fisibach;113
Full-Reuenthal;171
Kaiserstuhl;87
Klingnau;1140
Koblenz;591
Leibstadt;1151
Lengnau (AG);1047
Leuggern;1164
Mellikon;133
Rekingen (AG);391
Rietheim;169
Rümikon;57
Schneisingen;340
Siglistorf;178
Tegerfelden;455
Wislikofen;157
Bad Zurzach;3149
Arbon;6191
Dozwil;247
Egnach;1957
Hefenhofen;685
Horn;1147
Kesswil;479
Roggwil (TG);1407
Romanshorn;5541
Salmsach;386
Sommeri;497
Uttwil;391
Amriswil;5936
Bischofszell;3283
Erlen;1360
Hauptwil-Gottshaus;655
Hohentannen;252
Kradolf-Schönenberg;1098
Sulgen;2279
Zihlschlacht-Sitterdorf;1251
Basadingen-Schlattingen;731
Diessenhofen;1695
Schlatt (TG);540
Aadorf;3570
Felben-Wellhausen;925
Frauenfeld;19878
Gachnang;1375
Hüttlingen;259
